timestamp,accel_inconsistency_m_s_s,gyro_inconsistency_rad_s,mag_inconsistency_ga
168193034,0.0,0.0,0.0
168393760,0.0,0.0,0.0
168598542,0.0,0.0,0.0
168799577,0.0,0.0,0.0
168999886,0.0,0.0,0.0
169203356,0.0,0.0,0.0
169409107,0.0,0.0,0.0
169608956,0.0,0.0,0.0
169814651,0.0,0.0,0.0
170015207,0.0,0.0,0.0
170218859,0.0,0.0,0.0
170423942,0.0,0.0,0.0
170624075,0.0,0.0,0.0
170829853,0.0,0.0,0.0
171029176,0.0,0.0,0.0
171233773,0.0,0.0,0.0
171434889,0.0,0.0,0.0
171635365,0.0,0.0,0.0
171839954,0.0,0.0,0.0
172040973,0.0,0.0,0.0
172241164,0.0,0.0,0.0
172446056,0.0,0.0,0.0
172646031,0.0,0.0,0.0
172850531,0.0,0.0,0.0
173051700,0.0,0.0,0.0
173252509,0.0,0.0,0.0
173456341,0.0,0.0,0.0
173657614,0.0,0.0,0.0
173858118,0.0,0.0,0.0
174062880,0.0,0.0,0.0
174266891,0.0,0.0,0.0
174467708,0.0,0.0,0.0
174673007,0.0,0.0,0.0
174873375,0.0,0.0,0.0
175077613,0.0,0.0,0.0
175278779,0.0,0.0,0.0
175479125,0.0,0.0,0.0
175683644,0.0,0.0,0.0
175883747,0.0,0.0,0.0
176084209,0.0,0.0,0.0
176289337,0.0,0.0,0.0
176490113,0.0,0.0,0.0
176693980,0.0,0.0,0.0
176895096,0.0,0.0,0.0
177095781,0.0,0.0,0.0
177300516,0.0,0.0,0.0
177500560,0.0,0.0,0.0
177701325,0.0,0.0,0.0
177906020,0.0,0.0,0.0
178107011,0.0,0.0,0.0
178310760,0.0,0.0,0.0
178511738,0.0,0.0,0.0
178712791,0.0,0.0,0.0
178916474,0.0,0.0,0.0
179117360,0.0,0.0,0.0
179317791,0.0,0.0,0.0
179523180,0.0,0.0,0.0
179726920,0.0,0.0,0.0
179927873,0.0,0.0,0.0
180133012,0.0,0.0,0.0
180333179,0.0,0.0,0.0
180536977,0.0,0.0,0.0
180738609,0.0,0.0,0.0
180938530,0.0,0.0,0.0
181144335,0.0,0.0,0.0
181343609,0.0,0.0,0.0
181548359,0.0,0.0,0.0
181753601,0.0,0.0,0.0
181953756,0.0,0.0,0.0
182158394,0.0,0.0,0.0
182359254,0.0,0.0,0.0
182560363,0.0,0.0,0.0
182764529,0.0,0.0,0.0
182964434,0.0,0.0,0.0
183168848,0.0,0.0,0.0
183369732,0.0,0.0,0.0
183576187,0.0,0.0,0.0
183778829,0.0,0.0,0.0
183979698,0.0,0.0,0.0
184185248,0.0,0.0,0.0
184385610,0.0,0.0,0.0
184585561,0.0,0.0,0.0
184790080,0.0,0.0,0.0
184990732,0.0,0.0,0.0
185190839,0.0,0.0,0.0
185395253,0.0,0.0,0.0
185596522,0.0,0.0,0.0
185797325,0.0,0.0,0.0
185998163,0.0,0.0,0.0
186198339,0.0,0.0,0.0
186398787,0.0,0.0,0.0
186603708,0.0,0.0,0.0
186803330,0.0,0.0,0.0
187008554,0.0,0.0,0.0
187209179,0.0,0.0,0.0
187410670,0.0,0.0,0.0
187613737,0.0,0.0,0.0
187814599,0.0,0.0,0.0
188219342,0.0,0.0,0.0
188424570,0.0,0.0,0.0
188625231,0.0,0.0,0.0
188826172,0.0,0.0,0.0
189030139,0.0,0.0,0.0
189230688,0.0,0.0,0.0
189431696,0.0,0.0,0.0
189632784,0.0,0.0,0.0
189836363,0.0,0.0,0.0
190037564,0.0,0.0,0.0
190238420,0.0,0.0,0.0
190442903,0.0,0.0,0.0
190647006,0.0,0.0,0.0
190847565,0.0,0.0,0.0
191052750,0.0,0.0,0.0
191252441,0.0,0.0,0.0
191457165,0.0,0.0,0.0
191657983,0.0,0.0,0.0
191858538,0.0,0.0,0.0
192062850,0.0,0.0,0.0
192263945,0.0,0.0,0.0
192464606,0.0,0.0,0.0
192669194,0.0,0.0,0.0
192870079,0.0,0.0,0.0
193069962,0.0,0.0,0.0
193274727,0.0,0.0,0.0
193474866,0.0,0.0,0.0
193675660,0.0,0.0,0.0
193880730,0.0,0.0,0.0
194081305,0.0,0.0,0.0
194285611,0.0,0.0,0.0
194486626,0.0,0.0,0.0
194687153,0.0,0.0,0.0
194890875,0.0,0.0,0.0
195091834,0.0,0.0,0.0
195292051,0.0,0.0,0.0
195697138,0.0,0.0,0.0
195902097,0.0,0.0,0.0
196102957,0.0,0.0,0.0
196303556,0.0,0.0,0.0
196507482,0.0,0.0,0.0
196708503,0.0,0.0,0.0
196908844,0.0,0.0,0.0
197113138,0.0,0.0,0.0
197314730,0.0,0.0,0.0
197514590,0.0,0.0,0.0
197630726,0.0,0.0,0.0
200876554,0.0,0.0,0.0
201077261,0.0,0.0,0.0
201281469,0.0,0.0,0.0
201482147,0.0,0.0,0.0
201682549,0.0,0.0,0.0
201995372,0.0,0.0,0.0
202196510,0.0,0.0,0.0
202396602,0.0,0.0,0.0
202597638,0.0,0.0,0.0
202798446,0.0,0.0,0.0
202997986,0.0,0.0,0.0
203202601,0.0,0.0,0.0
203407986,0.0,0.0,0.0
203608938,0.0,0.0,0.0
203812206,0.0,0.0,0.0
204013172,0.0,0.0,0.0
204214650,0.0,0.0,0.0
204417654,0.0,0.0,0.0
204618941,0.0,0.0,0.0
204819255,0.0,0.0,0.0
205023526,0.0,0.0,0.0
205224839,0.0,0.0,0.0
205424948,0.0,0.0,0.0
205629957,0.0,0.0,0.0
206034444,0.0,0.0,0.0
206235722,0.0,0.0,0.0
206435679,0.0,0.0,0.0
206640441,0.0,0.0,0.0
206841653,0.0,0.0,0.0
207041930,0.0,0.0,0.0
207245894,0.0,0.0,0.0
207446941,0.0,0.0,0.0
207647743,0.0,0.0,0.0
208052057,0.0,0.0,0.0
208257858,0.0,0.0,0.0
208458154,0.0,0.0,0.0
208657750,0.0,0.0,0.0
209064288,0.0,0.0,0.0
209264338,0.0,0.0,0.0
209469329,0.0,0.0,0.0
209669615,0.0,0.0,0.0
210074087,0.0,0.0,0.0
210274954,0.0,0.0,0.0
210475755,0.0,0.0,0.0
210679953,0.0,0.0,0.0
210880808,0.0,0.0,0.0
211081335,0.0,0.0,0.0
211286265,0.0,0.0,0.0
211486367,0.0,0.0,0.0
211687245,0.0,0.0,0.0
212087844,0.0,0.0,0.0
212292501,0.0,0.0,0.0
212497301,0.0,0.0,0.0
212697291,0.0,0.0,0.0
212902575,0.0,0.0,0.0
213103341,0.0,0.0,0.0
213303174,0.0,0.0,0.0
213507640,0.0,0.0,0.0
213708501,0.0,0.0,0.0
213909308,0.0,0.0,0.0
214113177,0.0,0.0,0.0
214314443,0.0,0.0,0.0
214519585,0.0,0.0,0.0
214723140,0.0,0.0,0.0
214923914,0.0,0.0,0.0
215128798,0.0,0.0,0.0
215330170,0.0,0.0,0.0
215533292,0.0,0.0,0.0
215734374,0.0,0.0,0.0
215935514,0.0,0.0,0.0
216139655,0.0,0.0,0.0
216343999,0.0,0.0,0.0
216544819,0.0,0.0,0.0
216748481,0.0,0.0,0.0
216949587,0.0,0.0,0.0
217150395,0.0,0.0,0.0
217351227,0.0,0.0,0.0
217554940,0.0,0.0,0.0
217755666,0.0,0.0,0.0
217960738,0.0,0.0,0.0
218161167,0.0,0.0,0.0
218361616,0.0,0.0,0.0
218566436,0.0,0.0,0.0
218767443,0.0,0.0,0.0
218970901,0.0,0.0,0.0
219171868,0.0,0.0,0.0
219372510,0.0,0.0,0.0
219578052,0.0,0.0,0.0
219777296,0.0,0.0,0.0
219982402,0.0,0.0,0.0
220182656,0.0,0.0,0.0
220383195,0.0,0.0,0.0
220583999,0.0,0.0,0.0
220787235,0.0,0.0,0.0
220988521,0.0,0.0,0.0
221189603,0.0,0.0,0.0
221394107,0.0,0.0,0.0
221594041,0.0,0.0,0.0
221799513,0.0,0.0,0.0
222001094,0.0,0.0,0.0
222200018,0.0,0.0,0.0
222404548,0.0,0.0,0.0
222605837,0.0,0.0,0.0
222805593,0.0,0.0,0.0
223010056,0.0,0.0,0.0
223210922,0.0,0.0,0.0
223410877,0.0,0.0,0.0
223816835,0.0,0.0,0.0
224016830,0.0,0.0,0.0
224221297,0.0,0.0,0.0
224422638,0.0,0.0,0.0
224623204,0.0,0.0,0.0
224826877,0.0,0.0,0.0
225027867,0.0,0.0,0.0
225232811,0.0,0.0,0.0
225432947,0.0,0.0,0.0
225633253,0.0,0.0,0.0
225838372,0.0,0.0,0.0
226038439,0.0,0.0,0.0
226239460,0.0,0.0,0.0
226443634,0.0,0.0,0.0
226643698,0.0,0.0,0.0
226844226,0.0,0.0,0.0
227049628,0.0,0.0,0.0
227250399,0.0,0.0,0.0
227454097,0.0,0.0,0.0
227658889,0.0,0.0,0.0
227859659,0.0,0.0,0.0
228063977,0.0,0.0,0.0
228264796,0.0,0.0,0.0
228465322,0.0,0.0,0.0
228870105,0.0,0.0,0.0
229070567,0.0,0.0,0.0
229275086,0.0,0.0,0.0
229476032,0.0,0.0,0.0
229676601,0.0,0.0,0.0
229880366,0.0,0.0,0.0
230081916,0.0,0.0,0.0
230282456,0.0,0.0,0.0
230486754,0.0,0.0,0.0
