timestamp,alt_max,landed,freefall,ground_contact,maybe_landed
465143176,inf,1,0,0,0
465494909,inf,0,0,0,0
466508820,inf,0,0,0,0
467515844,inf,0,0,0,0
468529751,inf,0,0,0,0
469533150,inf,0,0,0,0
470542237,inf,0,0,0,0
471552615,inf,0,0,0,0
472559417,inf,0,0,0,0
473568207,inf,0,0,0,0
473960210,inf,0,0,1,0
474249184,inf,0,0,0,1
474574182,inf,1,0,0,0
475582616,inf,1,0,0,0
476587147,inf,1,0,0,0
477593194,inf,1,0,0,0
478599191,inf,1,0,0,0
479613563,inf,1,0,0,0
480620190,inf,1,0,0,0
481621918,inf,1,0,0,0
482628238,inf,1,0,0,0
483639159,inf,1,0,0,0
484645156,inf,1,0,0,0
485655174,inf,1,0,0,0
486666854,inf,1,0,0,0
487669394,inf,1,0,0,0
488678176,inf,1,0,0,0
489682365,inf,1,0,0,0
490687174,inf,1,0,0,0
491696240,inf,1,0,0,0
492707178,inf,1,0,0,0
493719186,inf,1,0,0,0
494722818,inf,1,0,0,0
495725531,inf,1,0,0,0
496736491,inf,1,0,0,0
497743674,inf,1,0,0,0
498751146,inf,1,0,0,0
499766178,inf,1,0,0,0
500770192,inf,1,0,0,0
501786178,inf,1,0,0,0
502803845,inf,1,0,0,0
503822970,inf,1,0,0,0
504836986,inf,1,0,0,0
505845196,inf,1,0,0,0
506857233,inf,1,0,0,0
507864263,inf,1,0,0,0
508879176,inf,1,0,0,0
510890175,inf,1,0,0,0
511894361,inf,1,0,0,0
512908200,inf,1,0,0,0
513921176,inf,1,0,0,0
514925305,inf,1,0,0,0
515944191,inf,1,0,0,0
518978185,inf,1,0,0,0
519992203,inf,1,0,0,0
521003187,inf,1,0,0,0
522016215,inf,1,0,0,0
523025844,inf,1,0,0,0
524036207,inf,1,0,0,0
525043152,inf,1,0,0,0
526048810,inf,1,0,0,0
527049177,inf,1,0,0,0
528060189,inf,1,0,0,0
529068442,inf,1,0,0,0
530080201,inf,1,0,0,0
531085200,inf,1,0,0,0
532093177,inf,1,0,0,0
533101940,inf,1,0,0,0
534111202,inf,1,0,0,0
535127147,inf,1,0,0,0
536143175,inf,1,0,0,0
537154176,inf,1,0,0,0
538168210,inf,1,0,0,0
539173401,inf,1,0,0,0
540188220,inf,1,0,0,0
541193852,inf,1,0,0,0
542206146,inf,1,0,0,0
543215190,inf,1,0,0,0
544221217,inf,1,0,0,0
545229178,inf,1,0,0,0
546239781,inf,1,0,0,0
547245184,inf,1,0,0,0
548253184,inf,1,0,0,0
549262330,inf,1,0,0,0
550266165,inf,1,0,0,0
551281911,inf,1,0,0,0
552287148,inf,1,0,0,0
553305189,inf,1,0,0,0
554314391,inf,1,0,0,0
555328016,inf,1,0,0,0
556334348,inf,1,0,0,0
557341148,inf,1,0,0,0
558349157,inf,1,0,0,0
559356959,inf,1,0,0,0
560376175,inf,1,0,0,0
561387192,inf,1,0,0,0
562393803,inf,1,0,0,0
563395148,inf,1,0,0,0
564401593,inf,1,0,0,0
565408216,inf,1,0,0,0
566413860,inf,1,0,0,0
567424364,inf,1,0,0,0
568440186,inf,1,0,0,0
569450146,inf,1,0,0,0
570460496,inf,1,0,0,0
571465733,inf,1,0,0,0
572476435,inf,1,0,0,0
573486843,inf,1,0,0,0
574496826,inf,1,0,0,0
575511924,inf,1,0,0,0
576522377,inf,1,0,0,0
577535174,inf,1,0,0,0
578544335,inf,1,0,0,0
579551185,inf,1,0,0,0
580552182,inf,1,0,0,0
581557622,inf,1,0,0,0
582564230,inf,1,0,0,0
583571178,inf,1,0,0,0
584582146,inf,1,0,0,0
585592225,inf,1,0,0,0
586597288,inf,1,0,0,0
587606157,inf,1,0,0,0
588613917,inf,1,0,0,0
589619818,inf,1,0,0,0
590626178,inf,1,0,0,0
591639187,inf,1,0,0,0
592649180,inf,1,0,0,0
593651146,inf,1,0,0,0
594659458,inf,1,0,0,0
595670629,inf,1,0,0,0
596675656,inf,1,0,0,0
597688194,inf,1,0,0,0
598689178,inf,1,0,0,0
599696210,inf,1,0,0,0
600705180,inf,1,0,0,0
601713143,inf,1,0,0,0
602723219,inf,1,0,0,0
603734159,inf,1,0,0,0
604738150,inf,1,0,0,0
605746146,inf,1,0,0,0
606759007,inf,1,0,0,0
607769810,inf,1,0,0,0
608777178,inf,1,0,0,0
609781079,inf,1,0,0,0
610784240,inf,1,0,0,0
611792208,inf,1,0,0,0
612800310,inf,1,0,0,0
613807176,inf,1,0,0,0
614817627,inf,1,0,0,0
615829202,inf,1,0,0,0
616849348,inf,1,0,0,0
617860221,inf,1,0,0,0
618869375,inf,1,0,0,0
619875621,inf,1,0,0,0
620879368,inf,1,0,0,0
621890177,inf,1,0,0,0
622894721,inf,1,0,0,0
623906179,inf,1,0,0,0
624913168,inf,1,0,0,0
625926734,inf,1,0,0,0
626929196,inf,1,0,0,0
627933459,inf,1,0,0,0
628945037,inf,1,0,0,0
629948174,inf,1,0,0,0
630956236,inf,1,0,0,0
631975353,inf,1,0,0,0
632984643,inf,1,0,0,0
633996195,inf,1,0,0,0
635006150,inf,1,0,0,0
636023170,inf,1,0,0,0
637034014,inf,1,0,0,0
638043370,inf,1,0,0,0
639062270,inf,1,0,0,0
640074180,inf,1,0,0,0
641085864,inf,1,0,0,0
641535373,inf,0,0,0,0
642548569,inf,0,0,0,0
643556239,inf,0,0,0,0
644566223,inf,0,0,0,0
645576300,inf,0,0,0,0
646585421,inf,0,0,0,0
647600433,inf,0,0,0,0
648614674,inf,0,0,0,0
649628239,inf,0,0,0,0
650635178,inf,0,0,0,0
651652312,inf,0,0,0,0
