timestamp,voltage_v,voltage_filtered_v,current_a,current_filtered_a,average_current_a,discharged_mah,remaining,scale,temperature,cell_count,voltage_cell_v[0],voltage_cell_v[1],voltage_cell_v[2],voltage_cell_v[3],max_cell_voltage_delta,capacity,cycle_count,run_time_to_empty,average_time_to_empty,serial_number,connected,system_source,priority,is_powering_off,warning
168374968,10.270748,10.649835,0.0,0.0,0.0,0.0,0.53754646,1.107491,0.0,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
168868414,10.775115,10.650213,0.0,0.0,0.0,0.0,0.53680974,1.1076807,0.0,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
169373383,10.622276,10.650503,0.0,0.0,0.0,0.0,0.5417765,1.1064032,0.0,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
169878827,10.83625,10.604988,0.0,0.0,0.0,0.0,0.52913505,1.1096605,0.0,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
170371611,9.995639,10.601147,0.0,0.0,0.0,0.0,0.5349687,1.108155,0.0,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
170876417,10.500006,10.576786,0.0,0.0,0.0,0.0,0.53722316,1.1075742,0.0,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
171381234,10.500006,10.558537,0.0,0.0,0.0,0.0,0.53525764,1.1080805,0.0,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
171874025,10.851534,10.565858,0.0,0.0,0.0,0.0,0.5336054,1.1085064,0.0,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
172378806,10.805682,10.614666,0.0,0.0,0.0,0.0,0.5423673,1.1062515,0.0,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
172885367,10.729263,10.635761,0.0,0.0,0.0,0.0,0.542846,1.1061286,0.0,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
173390006,10.729263,10.620467,0.0,0.0,0.0,0.0,0.5335768,1.1085138,0.0,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
173882810,10.729263,10.61149,0.0,0.0,0.0,0.0,0.5319422,1.1089356,0.0,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
174387610,10.851534,10.632729,0.0,0.0,0.0,0.0,0.543845,1.105872,0.0,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
174892439,10.83625,10.653181,0.0,0.0,0.0,0.0,0.5536545,1.1033599,0.0,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
