timestamp,roll_body,pitch_body,yaw_body,yaw_sp_move_rate,q_d[0],q_d[1],q_d[2],q_d[3],thrust_body[0],thrust_body[1],thrust_body[2],q_d_valid,roll_reset_integral,pitch_reset_integral,yaw_reset_integral,fw_control_yaw,apply_flaps
226230326,0.05242894,-0.033969466,-1.1171042,0.0,0.8478456,0.013227046,-0.028286804,-0.52932286,0.0,0.0,-0.36952776,1,0,0,0,0,0
226330352,0.0490659,-0.0343211,-1.1171042,0.0,0.8478664,0.011708162,-0.027545687,-0.52936447,0.0,0.0,-0.36361504,1,0,0,0,0,0
226430335,0.048136845,-0.042978525,-1.1171042,0.0,0.84785604,0.00901965,-0.030967817,-0.5292445,0.0,0.0,-0.3585473,1,0,0,0,0,0
226530204,0.046843108,-0.035435952,-1.1171042,0.0,0.84787756,0.010470359,-0.027429726,-0.52937853,0.0,0.0,-0.35530877,1,0,0,0,0,0
226630238,0.047974277,-0.048065837,-1.1171042,0.0,0.84784,0.0076022604,-0.033079956,-0.5291647,0.0,0.0,-0.35301033,1,0,0,0,0,0
226730240,0.04510807,-0.04118488,-1.1171042,0.0,0.847874,0.008211072,-0.029406361,-0.529318,0.0,0.0,-0.35661498,1,0,0,0,0,0
226830380,0.038666043,-0.041988716,-1.1171042,0.0,0.84789306,0.005266971,-0.02804188,-0.529399,0.0,0.0,-0.36404082,1,0,0,0,0,0
226930332,0.043977927,-0.043639317,-1.1171042,0.0,0.84787077,0.0070814043,-0.030147174,-0.5292978,0.0,0.0,-0.37460285,1,0,0,0,0,0
227030342,0.033872828,-0.046840403,-1.1171042,0.0,0.84787935,0.0019490182,-0.028828926,-0.52940124,0.0,0.0,-0.3785729,1,0,0,0,0,0
227150387,0.026391624,-0.047124505,-1.1171042,0.0,0.84787893,-0.0012978576,-0.026968846,-0.52950203,0.0,0.0,-0.38355783,1,0,0,0,0,0
227250415,0.04167454,-0.050400823,-1.1171042,0.0,0.84784824,0.0043127327,-0.03240223,-0.5292304,0.0,0.0,-0.38737032,1,0,0,0,0,0
227350432,0.046479475,-0.052535955,-1.1171042,0.0,0.8478253,0.0057836776,-0.03457803,-0.52911544,0.0,0.0,-0.39150855,1,0,0,0,0,0
227450586,0.042614166,-0.046772063,-1.1171042,0.0,0.847863,0.0056729023,-0.031113531,-0.52927125,0.0,0.0,-0.3940497,1,0,0,0,0,0
227550638,0.04774529,-0.042480927,-1.1171042,0.0,0.84785914,0.008985555,-0.03065339,-0.5292585,0.0,0.0,-0.40357986,1,0,0,0,0,0
227650679,0.053201202,-0.040424,-1.1171042,0.0,0.84783506,0.011843653,-0.031225702,-0.52920735,0.0,0.0,-0.413716,1,0,0,0,0,0
227750696,0.053268556,-0.040177606,-1.1171042,0.0,0.847835,0.011937513,-0.031139147,-0.5292104,0.0,0.0,-0.41741616,1,0,0,0,0,0
227850713,0.053031188,-0.03741461,-1.1171042,0.0,0.8478397,0.012569236,-0.0299058,-0.5292594,0.0,0.0,-0.4204936,1,0,0,0,0,0
227950728,0.05115637,-0.051321186,-1.1171042,0.0,0.8478146,0.008088273,-0.03530072,-0.52905464,0.0,0.0,-0.41758594,1,0,0,0,0,0
228050987,0.06411037,-0.05417428,-1.1171042,0.0,0.8477368,0.012822973,-0.03993471,-0.5287562,0.0,0.0,-0.41628635,1,0,0,0,0,0
228150807,0.058851622,-0.053895466,-1.1171042,0.0,0.8477686,0.010667834,-0.038426206,-0.5288648,0.0,0.0,-0.4064831,1,0,0,0,0,0
228251004,0.062066168,-0.057520166,-1.1171042,0.0,0.8477374,0.011069451,-0.04081094,-0.528728,0.0,0.0,-0.39947072,1,0,0,0,0,0
228350920,0.068403564,-0.06046925,-1.1171042,0.0,0.84768784,0.012973702,-0.043734495,-0.52853024,0.0,0.0,-0.39526764,1,0,0,0,0,0
228470985,0.066586874,-0.064267434,-1.1171042,0.0,0.8476826,0.01119664,-0.044862144,-0.52848476,0.0,0.0,-0.39298943,1,0,0,0,0,0
228571002,0.061986987,-0.06782918,-1.1171042,0.0,0.8476855,0.008302623,-0.04515424,-0.5285087,0.0,0.0,-0.3905134,1,0,0,0,0,0
228671023,0.068755865,-0.06693359,-1.1171042,0.0,0.84765714,0.011408986,-0.04656367,-0.5283739,0.0,0.0,-0.39159805,1,0,0,0,0,0
228771134,0.06830142,-0.07688483,-1.1171042,0.0,0.8475982,0.008577572,-0.050654616,-0.52814573,0.0,0.0,-0.39147362,1,0,0,0,0,0
228871191,0.06799216,-0.081354946,-1.1171042,0.0,0.84756476,0.0072610807,-0.05246416,-0.5280423,0.0,0.0,-0.39568964,1,0,0,0,0,0
228971415,0.07111624,-0.07329117,-1.1171042,0.0,0.84760857,0.010723489,-0.049877435,-0.52816385,0.0,0.0,-0.39944142,1,0,0,0,0,0
229071829,0.08410487,-0.07134036,-1.1171042,0.0,0.8475292,0.016745245,-0.052481316,-0.52788216,0.0,0.0,-0.39836955,1,0,0,0,0,0
229171566,0.08164512,-0.06814385,-1.1171042,0.0,0.84756184,0.016550597,-0.050479844,-0.52803105,0.0,0.0,-0.3948564,1,0,0,0,0,0
229271605,0.07897853,-0.06784364,-1.1171042,0.0,0.8475843,0.015500142,-0.04964876,-0.5281057,0.0,0.0,-0.3881893,1,0,0,0,0,0
229371598,0.068049185,-0.047214717,-1.1171042,0.0,0.84772193,0.016337514,-0.038029276,-0.5288236,0.0,0.0,-0.38185072,1,0,0,0,0,0
229471604,0.060700495,-0.04739981,-1.1171042,0.0,0.8477759,0.013173523,-0.036164336,-0.52895623,0.0,0.0,-0.37497443,1,0,0,0,0,0
229571902,0.057845704,-0.04338693,-1.1171042,0.0,0.8478016,0.01302713,-0.033709608,-0.5290806,0.0,0.0,-0.3653672,1,0,0,0,0,0
229671495,0.058082346,-0.045788098,-1.1171042,0.0,0.8477959,0.012490949,-0.034789238,-0.5290329,0.0,0.0,-0.3602153,1,0,0,0,0,0
229771524,0.0515112,-0.054788534,-1.1171042,0.0,0.8477979,0.0073195347,-0.036863144,-0.52898616,0.0,0.0,-0.35999086,1,0,0,0,0,0
229891593,0.04605694,-0.04845443,-1.1171042,0.0,0.8478453,0.0066864556,-0.03273727,-0.5291899,0.0,0.0,-0.35753736,1,0,0,0,0,0
229991617,0.03425925,-0.039577678,-1.1171042,0.0,0.8479125,0.004037718,-0.025853617,-0.52948993,0.0,0.0,-0.3553877,1,0,0,0,0,0
230091826,0.02848786,-0.04441783,-1.1171042,0.0,0.8478958,0.0003081475,-0.0263768,-0.52950627,0.0,0.0,-0.35723162,1,0,0,0,0,0
230191723,0.02004201,-0.035608765,-1.1171042,0.0,0.84794086,-0.0009380626,-0.020406766,-0.529697,0.0,0.0,-0.35585725,1,0,0,0,0,0
230291743,0.014429939,-0.0510673,-1.1171042,0.0,0.8478225,-0.0074135475,-0.025472574,-0.5296162,0.0,0.0,-0.35824582,1,0,0,0,0,0
230391759,0.011756546,-0.049420398,-1.1171042,0.0,0.8478268,-0.008110467,-0.024066605,-0.52966475,0.0,0.0,-0.3594411,1,0,0,0,0,0
230492013,0.008887809,-0.05029874,-1.1171042,0.0,0.84780604,-0.009559264,-0.023679128,-0.52969134,0.0,0.0,-0.35991433,1,0,0,0,0,0
230591836,0.0051566274,-0.045126274,-1.1171042,0.0,0.8478355,-0.009770571,-0.02049843,-0.52977294,0.0,0.0,-0.35926998,1,0,0,0,0,0
230692129,0.0019855457,-0.04117411,-1.1171042,0.0,0.8478541,-0.0100678,-0.017983077,-0.5298291,0.0,0.0,-0.36392102,1,0,0,0,0,0
230791934,0.005378844,-0.039761502,-1.1171042,0.0,0.847881,-0.00825501,-0.01828317,-0.529807,0.0,0.0,-0.36739874,1,0,0,0,0,0
230891921,0.005556059,-0.04448225,-1.1171042,0.0,0.84784305,-0.009430617,-0.020331243,-0.5297734,0.0,0.0,-0.3651636,1,0,0,0,0,0
230991939,0.006916554,-0.033861622,-1.1171042,0.0,0.84792775,-0.006039878,-0.016189428,-0.5298301,0.0,0.0,-0.37099946,1,0,0,0,0,0
231092000,0.006094144,-0.037789755,-1.1171042,0.0,0.84789854,-0.007429342,-0.0176368,-0.529813,0.0,0.0,-0.37189487,1,0,0,0,0,0
231192018,0.012072402,-0.046565957,-1.1171042,0.0,0.8478525,-0.00722026,-0.022940418,-0.5296864,0.0,0.0,-0.3737114,1,0,0,0,0,0
231312041,0.013269994,-0.047073677,-1.1171042,0.0,0.8478525,-0.0068470975,-0.023472782,-0.529668,0.0,0.0,-0.37058827,1,0,0,0,0,0
231412247,0.012541141,-0.031547084,-1.1171042,0.0,0.84795356,-0.0030419235,-0.016698223,-0.52979875,0.0,0.0,-0.37413758,1,0,0,0,0,0
231512276,0.018219564,-0.032450616,-1.1171042,0.0,0.84795487,-0.0008738286,-0.018585373,-0.5297418,0.0,0.0,-0.37630236,1,0,0,0,0,0
231612283,0.014905646,-0.03874647,-1.1171042,0.0,0.8479172,-0.0039471667,-0.02037638,-0.52972233,0.0,0.0,-0.37482753,1,0,0,0,0,0
231712276,0.015550471,-0.034005243,-1.1171042,0.0,0.84794515,-0.0024174224,-0.018537408,-0.52975416,0.0,0.0,-0.37721312,1,0,0,0,0,0
231812296,0.019519065,-0.043771498,-1.1171042,0.0,0.84789306,-0.0033228716,-0.02372809,-0.5296256,0.0,0.0,-0.38125643,1,0,0,0,0,0
231912379,0.02051309,-0.024278574,-1.1171042,0.0,0.8479822,0.0022641695,-0.015728658,-0.5297864,0.0,0.0,-0.39036915,1,0,0,0,0,0
232012324,0.019958833,-0.027241219,-1.1171042,0.0,0.8479745,0.0012440719,-0.016837765,-0.52976805,0.0,0.0,-0.3983392,1,0,0,0,0,0
232112395,0.02394827,-0.036456827,-1.1171042,0.0,0.84793735,0.00049333536,-0.021800747,-0.52964777,0.0,0.0,-0.40098044,1,0,0,0,0,0
232212443,0.033663362,-0.03380735,-1.1171042,0.0,0.8479328,0.0053143883,-0.0232504,-0.5295669,0.0,0.0,-0.39633244,1,0,0,0,0,0
232312520,0.030656971,-0.03853556,-1.1171042,0.0,0.8479228,0.0027866913,-0.024458239,-0.5295478,0.0,0.0,-0.3928005,1,0,0,0,0,0
232412550,0.031839125,-0.049626675,-1.1171042,0.0,0.84786415,0.00034840064,-0.029471226,-0.5293937,0.0,0.0,-0.39361948,1,0,0,0,0,0
232512616,0.026025092,-0.04693214,-1.1171042,0.0,0.8478799,-0.0014022653,-0.026790287,-0.52950925,0.0,0.0,-0.3898379,1,0,0,0,0,0
232632645,0.018768068,-0.044801857,-1.1171042,0.0,0.84788465,-0.003914289,-0.023965916,-0.52962434,0.0,0.0,-0.39260554,1,0,0,0,0,0
232732715,0.019466193,-0.052632518,-1.1171042,0.0,0.8478253,-0.0056933607,-0.027469445,-0.5295331,0.0,0.0,-0.39365387,1,0,0,0,0,0
232832749,0.02304931,-0.06389336,-1.1171042,0.0,0.84772944,-0.007158449,-0.033189464,-0.5293412,0.0,0.0,-0.38624287,1,0,0,0,0,0
232932793,0.019450955,-0.07816566,-1.1171042,0.0,0.84753704,-0.012465039,-0.038283233,-0.5292069,0.0,0.0,-0.38388196,1,0,0,0,0,0
233032815,0.018157603,-0.07944593,-1.1171042,0.0,0.8475105,-0.01335228,-0.03848329,-0.52921325,0.0,0.0,-0.37301692,1,0,0,0,0,0
233132842,0.014616194,-0.08136922,-1.1171042,0.0,0.8474565,-0.015362395,-0.03836081,-0.52925414,0.0,0.0,-0.37247446,1,0,0,0,0,0
233233172,0.012732635,-0.082772635,-1.1171042,0.0,0.8474196,-0.016532212,-0.03845681,-0.529271,0.0,0.0,-0.3699019,1,0,0,0,0,0
233332923,0.007341615,-0.072389856,-1.1171042,0.0,0.84753263,-0.01606662,-0.03263133,-0.52949554,0.0,0.0,-0.37498245,1,0,0,0,0,0
233432953,0.00573643,-0.06471878,-1.1171042,0.0,0.8476251,-0.014715045,-0.028955853,-0.5296006,0.0,0.0,-0.37508103,1,0,0,0,0,0
233532979,0.019259786,-0.06978457,-1.1171042,0.0,0.84764594,-0.01032559,-0.034682356,-0.52932686,0.0,0.0,-0.37067226,1,0,0,0,0,0
233633045,0.013852485,-0.05587633,-1.1171042,0.0,0.8477746,-0.00893252,-0.027357724,-0.52957535,0.0,0.0,-0.3719375,1,0,0,0,0,0
233733079,0.021335283,-0.056807876,-1.1171042,0.0,0.8477936,-0.0060074506,-0.029733619,-0.52945805,0.0,0.0,-0.36965454,1,0,0,0,0,0
233833077,0.013089814,-0.053776227,-1.1171042,0.0,0.8477919,-0.0086993845,-0.026265765,-0.52960676,0.0,0.0,-0.37252828,1,0,0,0,0,0
233933111,0.020719137,-0.053890143,-1.1171042,0.0,0.84781796,-0.005495477,-0.028334111,-0.5295013,0.0,0.0,-0.3672477,1,0,0,0,0,0
