timestamp,magnetometer_ga[0],magnetometer_ga[1],magnetometer_ga[2]
103193640,-0.23169643,-0.14613548,0.3830974
103218128,-0.23169643,-0.14613548,0.37994146
103238122,-0.22870992,-0.14613548,0.3830974
103260322,-0.23169643,-0.14613548,0.3767855
103282047,-0.23169643,-0.14613548,0.3830974
103306163,-0.23169643,-0.14320545,0.3830974
103329520,-0.22870992,-0.14613548,0.3830974
103353515,-0.22870992,-0.14613548,0.3767855
103376189,-0.22870992,-0.14320545,0.37994146
103399046,-0.23169643,-0.14613548,0.3830974
103420351,-0.22870992,-0.14613548,0.37994146
103445986,-0.22870992,-0.14320545,0.38625333
103468160,-0.22870992,-0.14613548,0.37362954
103491209,-0.22870992,-0.14613548,0.37994146
103513610,-0.23169643,-0.14613548,0.3830974
103537047,-0.2257234,-0.14613548,0.3830974
103560371,-0.22870992,-0.14613548,0.3830974
103582654,-0.22870992,-0.14906551,0.3830974
103605046,-0.2257234,-0.14613548,0.37994146
103627139,-0.2257234,-0.14906551,0.3830974
103650405,-0.22870992,-0.14906551,0.3830974
103675096,-0.2257234,-0.14906551,0.3767855
103697047,-0.22870992,-0.15199554,0.3830974
103719047,-0.2257234,-0.15199554,0.3830974
103741120,-0.22870992,-0.14906551,0.3830974
103764130,-0.2257234,-0.14906551,0.3830974
103786319,-0.2257234,-0.14906551,0.3830974
103810321,-0.2257234,-0.14906551,0.38625333
103832133,-0.2257234,-0.14906551,0.3830974
103854741,-0.22273691,-0.14906551,0.3830974
103877047,-0.2257234,-0.14906551,0.3830974
103898313,-0.22273691,-0.14906551,0.3830974
103921054,-0.22273691,-0.15199554,0.37994146
103944137,-0.2257234,-0.14906551,0.38625333
103966166,-0.2257234,-0.14906551,0.38625333
103989053,-0.22273691,-0.14906551,0.3894093
104012129,-0.22273691,-0.14906551,0.3830974
104033047,-0.22273691,-0.14906551,0.37994146
104054161,-0.2257234,-0.14906551,0.3767855
104077046,-0.2257234,-0.14906551,0.3830974
104098116,-0.22273691,-0.15199554,0.3830974
104123234,-0.22273691,-0.14613548,0.3830974
104148138,-0.22273691,-0.14906551,0.3830974
104170047,-0.22273691,-0.14906551,0.3830974
104193046,-0.22273691,-0.14906551,0.3830974
104215456,-0.2257234,-0.14906551,0.37994146
104238047,-0.2257234,-0.14906551,0.3830974
