timestamp,onboard_control_sensors_present,onboard_control_sensors_enabled,onboard_control_sensors_health,nav_state,arming_state,hil_state,failsafe,system_type,system_id,component_id,is_rotary_wing,is_vtol,vtol_fw_permanent_stab,in_transition_mode,in_transition_to_fw,rc_signal_lost,rc_input_mode,data_link_lost,data_link_lost_counter,high_latency_data_link_lost,engine_failure,mission_failure,failure_detector_status
229967181,3080239,2162703,3080239,5,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
230971174,3080239,2162703,3080239,5,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
231977219,3080239,2162703,3080239,5,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
232986649,3080239,2162703,3080239,5,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
233997140,3080239,2162703,3080239,5,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
234999212,3080239,2162703,3080239,5,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
236000037,3080239,2162703,3080239,5,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
237005886,3080239,2162703,3080239,5,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
238010187,3080239,2162703,3080239,5,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
239012264,3080239,2162703,3080239,5,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
240017135,3080239,2162703,3080239,5,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
241017226,3080239,2162703,3080239,5,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
242026423,3080239,2162703,3080239,5,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
243037393,3080239,2162703,3080239,5,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
244041135,3080239,2162703,3080239,5,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
245051098,3080239,2162703,3080239,5,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
246052384,3080239,2162703,3080239,5,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
247058726,3080239,2162703,3080239,5,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
248063171,3080239,2162703,3080239,5,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
249063354,3080239,2162703,3080239,5,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
250066190,3080239,2162703,3080239,5,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
251070671,3080239,2162703,3080239,5,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
252078613,3080239,2162703,3080239,5,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
253084214,3080239,2162703,3080239,5,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
254093135,3080239,2162703,3080239,5,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
255098155,3080239,2162703,3080239,5,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
255846323,3080239,2162703,3080239,5,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
256853640,3080239,2162703,3080239,5,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
257724234,3080239,2162703,3080239,5,1,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
