timestamp,vel_pos_innov[0],vel_pos_innov[1],vel_pos_innov[2],vel_pos_innov[3],vel_pos_innov[4],vel_pos_innov[5],mag_innov[0],mag_innov[1],mag_innov[2],heading_innov,airspeed_innov,beta_innov,flow_innov[0],flow_innov[1],hagl_innov,vel_pos_innov_var[0],vel_pos_innov_var[1],vel_pos_innov_var[2],vel_pos_innov_var[3],vel_pos_innov_var[4],vel_pos_innov_var[5],mag_innov_var[0],mag_innov_var[1],mag_innov_var[2],heading_innov_var,airspeed_innov_var,beta_innov_var,flow_innov_var[0],flow_innov_var[1],hagl_innov_var,output_tracking_error[0],output_tracking_error[1],output_tracking_error[2],drag_innov[0],drag_innov[1],drag_innov_var[0],drag_innov_var[1],aux_vel_innov[0],aux_vel_innov[1]
110316848,-0.097343445,0.075811826,0.35630247,-0.13873291,-0.12110901,-0.18680191,-0.0057685077,-0.003378328,0.013971835,-0.027120352,0.0,0.0,0.0,0.0,0.0,0.26564905,0.26593533,0.57317555,1.1173159,1.1175232,4.056286,0.0025051234,0.0025074675,0.0025057003,0.09014178,0.0,0.0,0.0,0.0,0.0,0.00052973034,0.020360464,0.061831333,0.0,0.0,0.0,0.0,0.0,0.0
110516848,0.14397681,0.10181922,0.2945927,-0.110694885,-0.10949707,0.08033371,-0.0039912164,-0.0043090377,0.0059818625,-0.027120352,0.0,0.0,0.0,0.0,0.0,0.26551083,0.2658209,0.57321095,1.1146512,1.1148847,4.0568953,0.0025050913,0.0025074426,0.0025056128,0.09014178,0.0,0.0,0.0,0.0,0.0,0.000523925,0.023098897,0.070002824,0.0,0.0,0.0,0.0,0.0,0.0
110725648,0.019182682,0.10338157,0.2393283,-0.11473465,-0.093875885,0.10726166,-0.0025626123,-0.0046183877,0.0077729523,-0.027120352,0.0,0.0,0.0,0.0,0.0,0.26544756,0.26578143,0.5731834,1.1104213,1.1106875,4.056671,0.0025050433,0.0025074114,0.0025055436,0.09014178,0.0,0.0,0.0,0.0,0.0,0.00047084616,0.023490807,0.07287755,0.0,0.0,0.0,0.0,0.0,0.0
110925648,-0.0546481,-0.03655567,0.2783895,-0.12852478,-0.09550476,-0.12582016,-0.0026679933,-0.0046090614,0.0045162737,-0.021699905,0.0,0.0,0.0,0.0,0.0,0.26535228,0.26569682,0.5732453,1.1081934,1.1084925,4.056495,0.0025050433,0.0025074133,0.0025055378,0.09016282,0.0,0.0,0.0,0.0,0.0,0.0004727566,0.024145324,0.077496395,0.0,0.0,0.0,0.0,0.0,0.0
111127248,0.050241053,0.050714143,0.38010162,-0.13391113,-0.08187866,0.09600258,-0.0026679933,-0.0046090614,0.0045162737,-0.01697278,0.0,0.0,0.0,0.0,0.0,0.26532826,0.26565605,0.5732235,1.1040523,1.104362,4.056622,0.0025050433,0.0025074133,0.0025055378,0.09016244,0.0,0.0,0.0,0.0,0.0,0.00048262754,0.026482018,0.08358978,0.0,0.0,0.0,0.0,0.0,0.0
111335248,-0.03818965,0.04733566,0.28080317,-0.13353348,-0.09730911,0.3253212,-0.0026679933,-0.0046090614,0.0045162737,-0.016934872,0.0,0.0,0.0,0.0,0.0,0.26527372,0.26557535,0.57323223,1.0993508,1.0996705,4.056768,0.0025050433,0.0025074133,0.0025055378,0.09016243,0.0,0.0,0.0,0.0,0.0,0.00049657264,0.034863852,0.10432452,0.0,0.0,0.0,0.0,0.0,0.0
111536848,0.13997477,-0.051726297,0.32346523,-0.12508011,-0.09522247,0.43577576,-0.0026679933,-0.0046090614,0.0045162737,-0.02141118,0.0,0.0,0.0,0.0,0.0,0.26532587,0.26560685,0.573163,1.0977396,1.0980676,4.0566254,0.0025050433,0.0025074133,0.0025055378,0.090162136,0.0,0.0,0.0,0.0,0.0,0.0006420804,0.033305973,0.098261155,0.0,0.0,0.0,0.0,0.0,0.0
111737648,0.16748327,-0.008438316,0.18825245,-0.10607529,-0.08353424,0.03209877,-0.0026679933,-0.0046090614,0.0045162737,-0.021987915,0.0,0.0,0.0,0.0,0.0,0.26532006,0.26558205,0.57313997,1.095563,1.0958914,4.0564203,0.0025050433,0.0025074133,0.0025055378,0.09016172,0.0,0.0,0.0,0.0,0.0,0.00077076565,0.033194847,0.09692202,0.0,0.0,0.0,0.0,0.0,0.0
111937648,0.030325353,-0.0005605463,0.32490838,-0.106033325,-0.079006195,0.13982964,-0.0026679933,-0.0046090614,0.0045162737,-0.012992382,0.0,0.0,0.0,0.0,0.0,0.26530167,0.26554108,0.5731269,1.0934366,1.0937634,4.0562906,0.0025050433,0.0025074133,0.0025055378,0.09016165,0.0,0.0,0.0,0.0,0.0,0.0006343045,0.034635432,0.10319668,0.0,0.0,0.0,0.0,0.0,0.0
112146448,0.08040333,-0.08066567,0.26059905,-0.09529114,-0.08585739,0.4777851,-0.0026679933,-0.0046090614,0.0045162737,-0.015045643,0.0,0.0,0.0,0.0,0.0,0.26528364,0.26549256,0.5731135,1.0912719,1.0915931,4.056147,0.0025050433,0.0025074133,0.0025055378,0.09016131,0.0,0.0,0.0,0.0,0.0,0.0006280659,0.03072121,0.09044758,0.0,0.0,0.0,0.0,0.0,0.0
112346448,0.04712069,-0.16793418,0.26648325,-0.08003235,-0.09517288,0.48692703,-0.0026679933,-0.0046090614,0.0045162737,-0.014454365,0.0,0.0,0.0,0.0,0.0,0.26521683,0.26540542,0.57315254,1.0887244,1.0890353,4.055728,0.0025050433,0.0025074133,0.0025055378,0.09016091,0.0,0.0,0.0,0.0,0.0,0.0007943851,0.028845523,0.08123357,0.0,0.0,0.0,0.0,0.0,0.0
112548048,0.08193821,0.013032237,0.14766605,-0.06175232,-0.09381485,0.4907589,-0.0026679933,-0.0046090614,0.0045162737,-0.007687092,0.0,0.0,0.0,0.0,0.0,0.2652246,0.26538244,0.5732177,1.0846227,1.0849237,4.0563126,0.0025050433,0.0025074133,0.0025055378,0.090160914,0.0,0.0,0.0,0.0,0.0,0.0006666084,0.028041864,0.084750995,0.0,0.0,0.0,0.0,0.0,0.0
112756055,0.16474903,-0.03451069,0.18013039,-0.037197113,-0.08419418,0.3848095,-0.0026679933,-0.0046090614,0.0045162737,0.010221243,0.0,0.0,0.0,0.0,0.0,0.26524526,0.2653489,0.573194,1.0825926,1.0828784,4.055974,0.0025050433,0.0025074133,0.0025055378,0.0901598,0.0,0.0,0.0,0.0,0.0,0.0005007586,0.02610209,0.07928332,0.0,0.0,0.0,0.0,0.0,0.0
