timestamp,timestamp_sample,control[0],control[1],control[2],control[3],control[4],control[5],control[6],control[7]
198001785,198001647,-0.049659293,-0.04256782,-0.01923304,0.42965585,0.0,0.0,0.0,1.0
198101784,198101648,-0.051298313,-0.03760323,-0.015287355,0.43258983,0.0,0.0,0.0,1.0
198205783,198205648,-0.048348814,-0.03889996,-0.022424918,0.43341252,0.0,0.0,0.0,1.0
198305784,198305648,-0.058537047,-0.043435495,-0.028455403,0.43637037,0.0,0.0,0.0,1.0
198405792,198405660,-0.045707904,-0.031591043,-0.018666437,0.43801162,0.0,0.0,0.0,1.0
198510584,198510448,-0.06514614,-0.026695088,-0.025238585,0.43505082,0.0,0.0,0.0,1.0
198610584,198610448,-0.04478647,-0.038563613,-0.017306022,0.4323564,0.0,0.0,0.0,1.0
198710584,198710448,-0.07307241,-0.038991477,-0.01900343,0.43696788,0.0,0.0,0.0,1.0
198814605,198814462,-0.07081933,-0.039546933,-0.01722338,0.4363329,0.0,0.0,0.0,1.0
198919381,198919249,-0.07077669,-0.045477852,-0.013299792,0.4342848,0.0,0.0,0.0,1.0
199019383,199019249,-0.06782122,-0.0112608,-0.01548148,0.43848386,0.0,0.0,0.0,1.0
199119382,199119249,-0.056173474,-0.05050241,-0.0045387135,0.43645683,0.0,0.0,0.0,1.0
199223396,199223255,-0.056770828,-0.04043702,-0.010701029,0.4345552,0.0,0.0,0.0,1.0
199324192,199324048,-0.05007037,-0.033825632,-0.005115052,0.44002342,0.0,0.0,0.0,1.0
199424196,199424048,-0.065689094,-0.039219618,-0.0060410597,0.43499982,0.0,0.0,0.0,1.0
199528187,199528048,-0.06587054,-0.03802565,-0.01365685,0.42708606,0.0,0.0,0.0,1.0
199628181,199628049,-0.050616056,-0.024784066,-0.019619474,0.42462975,0.0,0.0,0.0,1.0
199732201,199732056,-0.04921657,-0.037749857,-0.027246803,0.4210221,0.0,0.0,0.0,1.0
199832985,199832848,-0.058377422,-0.041171692,-0.022649089,0.42080754,0.0,0.0,0.0,1.0
199932996,199932848,-0.049027085,-0.034079455,-0.02019782,0.42335027,0.0,0.0,0.0,1.0
200032986,200032848,-0.05162906,-0.03698649,-0.025714286,0.42470276,0.0,0.0,0.0,1.0
200137016,200136879,-0.07672689,-0.041221716,-0.024223253,0.41921553,0.0,0.0,0.0,1.0
200237785,200237648,-0.060529824,-0.046489798,-0.036342382,0.41634265,0.0,0.0,0.0,1.0
200337793,200337661,-0.06091709,-0.030156802,-0.023397978,0.41504306,0.0,0.0,0.0,1.0
200441793,200441652,-0.056089204,-0.024492376,-0.021137435,0.4126444,0.0,0.0,0.0,1.0
200541785,200541648,-0.031056564,-0.05545872,-0.012926979,0.4101193,0.0,0.0,0.0,1.0
200642589,200642448,-0.049491793,-0.04244124,-0.019706734,0.4064556,0.0,0.0,0.0,1.0
200746584,200746448,-0.049113605,-0.05877673,-0.025495406,0.40394434,0.0,0.0,0.0,1.0
200846586,200846448,-0.04088857,-0.053020842,-0.011249294,0.40320483,0.0,0.0,0.0,1.0
200946584,200946448,-0.048933733,-0.043419022,-0.014795244,0.39982307,0.0,0.0,0.0,1.0
201050610,201050473,-0.049416497,-0.036874574,-0.015980933,0.40083113,0.0,0.0,0.0,1.0
201151388,201151247,-0.047576077,-0.050970078,-0.0026539122,0.398815,0.0,0.0,0.0,1.0
201251387,201251248,-0.04789364,-0.05034061,-0.011777916,0.39759573,0.0,0.0,0.0,1.0
201355394,201355248,-0.045066167,-0.044715263,-0.019331975,0.4007843,0.0,0.0,0.0,1.0
201455385,201455248,-0.040187515,-0.043764003,-0.0058173714,0.40220943,0.0,0.0,0.0,1.0
201556192,201556049,-0.059108023,-0.055611264,-0.012515772,0.40009984,0.0,0.0,0.0,1.0
201660182,201660048,-0.054896537,-0.060697567,-0.0069251135,0.39936855,0.0,0.0,0.0,1.0
201760196,201760062,-0.024669103,-0.045310583,-0.0053745545,0.39684498,0.0,0.0,0.0,1.0
201860234,201860080,-0.049426597,-0.044249322,-0.011336442,0.3938896,0.0,0.0,0.0,1.0
201964984,201964848,-0.048470464,-0.024558097,-0.006146414,0.39216724,0.0,0.0,0.0,1.0
202064985,202064848,-0.049722824,-0.06756515,-0.0078053134,0.39081874,0.0,0.0,0.0,1.0
202164987,202164849,-0.0330182,-0.047798634,-0.0080610905,0.39151496,0.0,0.0,0.0,1.0
202269001,202268848,-0.04590159,-0.05379671,-0.013265679,0.39160573,0.0,0.0,0.0,1.0
202368985,202368848,-0.025319245,-0.046943147,-0.0023183436,0.39178705,0.0,0.0,0.0,1.0
202470586,202470448,-0.025085432,-0.053973474,1.3417564e-05,0.39047456,0.0,0.0,0.0,1.0
202570592,202570448,-0.039318115,-0.039386664,0.0008554803,0.38777032,0.0,0.0,0.0,1.0
202674627,202674486,-0.042620048,-0.051184982,-0.0021314374,0.38741532,0.0,0.0,0.0,1.0
202776208,202776069,-0.0548917,-0.044566654,-0.010455906,0.3904088,0.0,0.0,0.0,1.0
202876188,202876048,-0.044457804,-0.050235413,-0.0024805558,0.3908455,0.0,0.0,0.0,1.0
202980190,202980049,-0.044440098,-0.057251062,-0.008575258,0.39189133,0.0,0.0,0.0,1.0
203080991,203080848,-0.046307452,-0.046649516,-0.0018138681,0.3928447,0.0,0.0,0.0,1.0
203180997,203180853,-0.047588337,-0.049963936,-0.0037580926,0.38965312,0.0,0.0,0.0,1.0
203280995,203280856,-0.035991747,-0.049428836,-0.008470702,0.38774103,0.0,0.0,0.0,1.0
203385020,203384877,-0.03286058,-0.046592876,-0.015843596,0.38652265,0.0,0.0,0.0,1.0
203484984,203484848,-0.033980615,-0.056586634,-0.0056048837,0.38764507,0.0,0.0,0.0,1.0
203585793,203585660,-0.043893933,-0.03275303,-0.015602533,0.38717753,0.0,0.0,0.0,1.0
203689784,203689648,-0.036960218,-0.040576745,-0.015824776,0.38904166,0.0,0.0,0.0,1.0
203789785,203789648,-0.04219243,-0.04857996,-0.008759259,0.39227554,0.0,0.0,0.0,1.0
203893793,203893659,-0.038247153,-0.06528601,-9.518769e-05,0.39088175,0.0,0.0,0.0,1.0
203994603,203994465,-0.017373925,-0.025519593,0.00033532362,0.3875975,0.0,0.0,0.0,1.0
204094605,204094463,-0.038448945,-0.040935073,-0.012327099,0.38578075,0.0,0.0,0.0,1.0
204194598,204194460,-0.02810855,-0.052732494,-0.00064734137,0.3871825,0.0,0.0,0.0,1.0
204298626,204298486,-0.0361572,-0.061669804,-0.0009116428,0.38716775,0.0,0.0,0.0,1.0
204399385,204399248,-0.03624685,-0.054730564,-0.00064434065,0.38495824,0.0,0.0,0.0,1.0
204499389,204499248,-0.01467616,-0.042021982,0.01300784,0.38469306,0.0,0.0,0.0,1.0
204603384,204603248,-0.040104777,-0.067469284,0.0006036572,0.38602206,0.0,0.0,0.0,1.0
204703398,204703257,-0.051464375,-0.06755133,-0.00058887573,0.3852783,0.0,0.0,0.0,1.0
204803384,204803248,-0.018695846,-0.056111928,0.007854935,0.38384706,0.0,0.0,0.0,1.0
204908235,204908086,-0.042406846,-0.04190686,-0.00055000046,0.38615915,0.0,0.0,0.0,1.0
205008196,205008048,-0.03885482,-0.052563533,0.003919128,0.38638392,0.0,0.0,0.0,1.0
205108189,205108049,-0.040773258,-0.056105092,0.0019015912,0.3870282,0.0,0.0,0.0,1.0
205212181,205212049,-0.037463766,-0.047937736,0.013570599,0.3877369,0.0,0.0,0.0,1.0
205312984,205312848,-0.027851485,-0.05520411,0.008187421,0.38755086,0.0,0.0,0.0,1.0
205412990,205412848,-0.028664717,-0.046898045,0.009179247,0.39214233,0.0,0.0,0.0,1.0
205516984,205516848,-0.052646786,-0.05295358,0.013286805,0.3913344,0.0,0.0,0.0,1.0
205616987,205616848,-0.054854777,-0.022934396,0.01195185,0.39038748,0.0,0.0,0.0,1.0
205717783,205717648,-0.038513187,-0.038121823,-0.0071326788,0.3901361,0.0,0.0,0.0,1.0
205821820,205821690,-0.041764166,-0.050580513,0.00019251462,0.39034677,0.0,0.0,0.0,1.0
205921792,205921657,-0.026602548,-0.03752042,-0.0027273127,0.39376295,0.0,0.0,0.0,1.0
206021797,206021660,-0.047957253,-0.0616562,-0.00661384,0.3969449,0.0,0.0,0.0,1.0
206125788,206125648,-0.037363414,-0.060862236,-0.006131912,0.39708978,0.0,0.0,0.0,1.0
206226579,206226449,-0.036075536,-0.05748811,-0.007038341,0.39807695,0.0,0.0,0.0,1.0
206326585,206326448,-0.062064767,-0.04281425,-0.008909393,0.39631376,0.0,0.0,0.0,1.0
206430586,206430448,-0.032879584,-0.049170244,-0.0107964855,0.3910017,0.0,0.0,0.0,1.0
206530589,206530448,-0.04248662,-0.060104903,-0.010768352,0.3889488,0.0,0.0,0.0,1.0
206631389,206631248,-0.05204849,-0.045686,-0.0063794963,0.39033124,0.0,0.0,0.0,1.0
