timestamp,remote_timestamp,observed_offset,estimated_offset,round_trip_time
276647231,1532984900985418,-1532984624353434,-1532984624340140,30488
276752013,1532984901085022,-1532984624350646,-1532984624340140,35267
276853435,1532984901188447,-1532984624353065,-1532984624340140,36101
276952751,1532984901287053,-1532984624352282,-1532984624340140,35952
277061968,1532984901398505,-1532984624358643,-1532984624340140,44204
277154150,1532984901489406,-1532984624353230,-1532984624340140,34794
277253519,1532984901590586,-1532984624354906,-1532984624340140,35665
277356470,1532984901689423,-1532984624352207,-1532984624340140,38495
277449946,1532984901786767,-1532984624352090,-1532984624340140,30525
277551375,1532984901888226,-1532984624353110,-1532984624340140,32511
277649926,1532984901987375,-1532984624353133,-1532984624340140,31362
277752666,1532984902088265,-1532984624351743,-1532984624340140,31520
277850367,1532984902184968,-1532984624350056,-1532984624340140,30903
277951097,1532984902285146,-1532984624348106,-1532984624340140,28108
278050893,1532984902388137,-1532984624353140,-1532984624340140,31786
278151050,1532984902487366,-1532984624351549,-1532984624340140,30460
278255936,1532984902590300,-1532984624353842,-1532984624340140,38950
278352754,1532984902688667,-1532984624352136,-1532984624340140,31914
278453286,1532984902789596,-1532984624353993,-1532984624340140,35358
278556320,1532984902889602,-1532984624348966,-1532984624340140,31349
278650272,1532984902987075,-1532984624353276,-1532984624340140,32939
278756326,1532984903090693,-1532984624353951,-1532984624340140,39163
278853025,1532984903187154,-1532984624351868,-1532984624340140,35470
279051820,1532984903388563,-1532984624353779,-1532984624340140,33284
279157577,1532984903491716,-1532984624353039,-1532984624340140,37795
279259358,1532984903593378,-1532984624354125,-1532984624340140,40196
279354946,1532984903690479,-1532984624353103,-1532984624340140,35135
279458618,1532984903795436,-1532984624356149,-1532984624340140,38656
279550685,1532984903885094,-1532984624349803,-1532984624340140,30782
279649619,1532984903985834,-1532984624350877,-1532984624340140,28811
279757288,1532984904089554,-1532984624350599,-1532984624340140,36658
279857607,1532984904196301,-1532984624359127,-1532984624340140,40858
279952978,1532984904287953,-1532984624351122,-1532984624340140,32286
280048192,1532984904385724,-1532984624353074,-1532984624340140,31079
280149369,1532984904486974,-1532984624353799,-1532984624340140,32382
280254735,1532984904589941,-1532984624354235,-1532984624340140,37184
280352628,1532984904689651,-1532984624354272,-1532984624340140,34492
280454289,1532984904787578,-1532984624350972,-1532984624340140,35361
280548282,1532984904886645,-1532984624353990,-1532984624340140,31167
280649450,1532984904985209,-1532984624350694,-1532984624340140,29864
280753533,1532984905087908,-1532984624352229,-1532984624340140,35702
280849822,1532984905187079,-1532984624351348,-1532984624340140,27510
280951554,1532984905287702,-1532984624351542,-1532984624340140,30782
281054661,1532984905388754,-1532984624351536,-1532984624340140,34881
281158327,1532984905495661,-1532984624355189,-1532984624340140,35703
281251382,1532984905585212,-1532984624351293,-1532984624340140,34920
281351391,1532984905685768,-1532984624350549,-1532984624340140,32339
281451448,1532984905787721,-1532984624351815,-1532984624340140,30415
281550348,1532984905887560,-1532984624351642,-1532984624340140,28853
281647689,1532984905985927,-1532984624353538,-1532984624340140,30595
281755448,1532984906089672,-1532984624353349,-1532984624340140,38243
281854352,1532984906188786,-1532984624353187,-1532984624340140,37493
281952828,1532984906287564,-1532984624352439,-1532984624340140,35401
282049310,1532984906387200,-1532984624353734,-1532984624340140,31165
282152962,1532984906489898,-1532984624355011,-1532984624340140,36143
282251394,1532984906585205,-1532984624350526,-1532984624340140,33422
282355372,1532984906689085,-1532984624351491,-1532984624340140,35543
282449644,1532984906787365,-1532984624353002,-1532984624340140,30548
282552376,1532984906887695,-1532984624351273,-1532984624340140,31902
282647990,1532984906984566,-1532984624351462,-1532984624340140,29133
282758318,1532984907095607,-1532984624356021,-1532984624340140,37459
282852395,1532984907187749,-1532984624351301,-1532984624340140,31887
282965474,1532984907287598,-1532984624344776,-1532984624340140,45291
283053319,1532984907388217,-1532984624351566,-1532984624340140,33331
283150425,1532984907487192,-1532984624353154,-1532984624340140,32767
283256715,1532984907588980,-1532984624353433,-1532984624340140,37618
283348379,1532984907684955,-1532984624348885,-1532984624340140,24613
283449054,1532984907786128,-1532984624351047,-1532984624340140,27940
283550290,1532984907885388,-1532984624348871,-1532984624340140,27541
283653178,1532984907990618,-1532984624352954,-1532984624340140,31022
283748626,1532984908086132,-1532984624350476,-1532984624340140,25926
283851590,1532984908187428,-1532984624350559,-1532984624340140,27447
283953579,1532984908287702,-1532984624347563,-1532984624340140,26875
284055363,1532984908389242,-1532984624350570,-1532984624340140,33368
284150614,1532984908487816,-1532984624350422,-1532984624340140,26435
284252304,1532984908586001,-1532984624347865,-1532984624340140,28323
284351616,1532984908685551,-1532984624346418,-1532984624340140,24953
284448423,1532984908785288,-1532984624349058,-1532984624340140,23609
284563409,1532984908899968,-1532984624355914,-1532984624340140,38703
