timestamp,x,y,z,yaw,yawspeed,vx,vy,vz,acc_x,acc_y,acc_z,thrust[0],thrust[1],thrust[2]
1083715138,0.90682936,-0.009881344,1.9234681,3.0249684,0.0,0.0,0.0,0.7,-0.015882935,0.096804105,-0.9859349,0.0,0.0,0.0
1083815794,0.90682936,-0.009881344,1.9234681,3.0249684,0.0,0.0,0.0,0.7,-0.015106278,0.09444315,-0.98595685,0.0,0.0,0.0
1083919775,0.90682936,-0.009881344,1.9234681,3.0249684,0.0,0.0,0.0,0.7,-0.014728862,0.09391155,-0.98598725,0.0,0.0,0.0
1084019597,0.90682936,-0.009881344,1.9234681,3.0249684,0.0,0.0,0.0,0.7,-0.013976884,0.09154296,-0.98600113,0.0,0.0,0.0
1084119708,0.90682936,-0.009881344,1.9234681,3.0249684,0.0,0.0,0.0,0.7,-0.013149768,0.0883129,-0.98602045,0.0,0.0,0.0
1084223502,0.90682936,-0.009881344,1.9234681,3.0249684,0.0,0.0,0.0,0.7,-0.012147173,0.08379083,-0.98603815,0.0,0.0,0.0
1084324401,0.90682936,-0.009881344,1.9234681,3.0249684,0.0,0.0,0.0,0.7,-0.010990516,0.077807315,-0.9860539,0.0,0.0,0.0
1084424621,0.90682936,-0.009881344,1.9234681,3.0249684,0.0,0.0,0.0,0.7,-0.010187336,0.073800445,-0.98607,0.0,0.0,0.0
1084528505,0.90682936,-0.009881344,1.9234681,3.0249684,0.0,0.0,0.0,0.7,-0.009892465,0.073406436,-0.98608685,0.0,0.0,0.0
1084628388,0.90682936,-0.009881344,1.9234681,3.0249684,0.0,0.0,0.0,0.7,-0.009343542,0.07051037,-0.9861196,0.0,0.0,0.0
1084732039,0.90682936,-0.009881344,1.9234681,3.0249684,0.0,0.0,0.0,0.7,-0.009273649,0.07162319,-0.9861484,0.0,0.0,0.0
1084833750,0.90682936,-0.009881344,1.9234681,3.0249684,0.0,0.0,0.0,0.7,-0.009097275,0.07241683,-0.9861635,0.0,0.0,0.0
1084933282,0.90682936,-0.009881344,1.9234681,3.0249684,0.0,0.0,0.0,0.7,-0.009265628,0.075570256,-0.98617804,0.0,0.0,0.0
1085033569,0.90682936,-0.009881344,1.9234681,3.0249684,0.0,0.0,0.0,0.7,-0.0091018565,0.07629677,-0.98618853,0.0,0.0,0.0
1085137317,0.90682936,-0.009881344,1.9234681,3.0249684,0.0,0.0,0.0,0.7,-0.009017537,0.077868775,-0.9862065,0.0,0.0,0.0
1085237615,0.90682936,-0.009881344,1.9234681,3.0249684,0.0,0.0,0.0,0.7,-0.008672826,0.07713819,-0.9862269,0.0,0.0,0.0
1085441886,0.90682936,-0.009881344,1.9234681,3.0249684,0.0,0.0,0.0,0.7,-0.00816198,0.077775344,-0.98624897,0.0,0.0,0.0
1085541992,0.90682936,-0.009881344,1.9234681,3.0249684,0.0,0.0,0.0,0.7,-0.008041526,0.07893368,-0.9862603,0.0,0.0,0.0
1085642270,0.90682936,-0.009881344,1.9234681,3.0249684,0.0,0.0,0.0,0.7,-0.007670752,0.07761875,-0.9862714,0.0,0.0,0.0
1085746422,0.90682936,-0.009881344,1.9234681,3.0249684,0.0,0.0,0.0,0.7,-0.007015513,0.073587,-0.9862762,0.0,0.0,0.0
1085847240,0.90682936,-0.009881344,1.9234681,3.0249684,0.0,0.0,0.0,0.7,-0.006284824,0.06731198,-0.98629045,0.0,0.0,0.0
1085946430,0.90682936,-0.009881344,1.9234681,3.0249684,0.0,0.0,0.0,0.7,-0.0055777417,0.06142622,-0.9863092,0.0,0.0,0.0
1086050830,0.90682936,-0.009881344,1.9234681,3.0249684,0.0,0.0,0.0,0.7,-0.00444694,0.05116285,-0.9863175,0.0,0.0,0.0
1086150692,0.90682936,-0.009881344,1.9234681,3.0249684,0.0,0.0,0.0,0.7,-0.0037025623,0.043608513,-0.9863234,0.0,0.0,0.0
1086251674,0.90682936,-0.009881344,1.9234681,3.0249684,0.0,0.0,0.0,0.7,-0.0032371646,0.039664388,-0.98632765,0.0,0.0,0.0
1086355588,0.90682936,-0.009881344,1.9234681,3.0249684,0.0,0.0,0.0,0.7,-0.0028831842,0.036994252,-0.98632866,0.0,0.0,0.0
1086456390,0.90682936,-0.009881344,1.9234681,3.0249684,0.0,0.0,0.0,0.7,-0.0024961939,0.033338185,-0.9863312,0.0,0.0,0.0
1086555624,0.90682936,-0.009881344,1.9234681,3.0249684,0.0,0.0,0.0,0.7,-0.0019229918,0.026751462,-0.98634404,0.0,0.0,0.0
1086660401,0.90682936,-0.009881344,1.9234681,3.0249684,0.0,0.0,0.0,0.7,-0.0013912779,0.020284172,-0.9863413,0.0,0.0,0.0
1086760679,0.90682936,-0.009881344,1.9234681,3.0249684,0.0,0.0,0.0,0.7,-0.0012265465,0.018724332,-0.9863398,0.0,0.0,0.0
1086860382,0.90682936,-0.009881344,1.9234681,3.0249684,0.0,0.0,0.0,0.7,-0.0009938283,0.01571999,-0.98635477,0.0,0.0,0.0
1086964419,0.90682936,-0.009881344,1.9234681,3.0249684,0.0,0.0,0.0,0.7,-0.0011077386,0.018325092,-0.9863581,0.0,0.0,0.0
1087064601,0.90682936,-0.009881344,1.9234681,3.0249684,0.0,0.0,0.0,0.7,-0.0010805142,0.018783497,-0.98635674,0.0,0.0,0.0
