timestamp,heartbeat_time,telem_time,rxerrors,fixed,type,rssi,remote_rssi,noise,remote_noise,txbuf,system_id,component_id
411311722,411311722,0,0,0,0,0,0,0,0,0,0,0
412329812,412329812,0,0,0,0,0,0,0,0,0,0,0
413229145,413229145,0,0,0,0,0,0,0,0,0,0,0
414226606,414226606,0,0,0,0,0,0,0,0,0,0,0
415232423,415232423,0,0,0,0,0,0,0,0,0,0,0
416244205,416244205,0,0,0,0,0,0,0,0,0,0,0
417268020,417268020,0,0,0,0,0,0,0,0,0,0,0
418272375,418272375,0,0,0,0,0,0,0,0,0,0,0
419316206,419316206,0,0,0,0,0,0,0,0,0,0,0
420330210,420330210,0,0,0,0,0,0,0,0,0,0,0
421240448,421240448,0,0,0,0,0,0,0,0,0,0,0
422245259,422245259,0,0,0,0,0,0,0,0,0,0,0
423281278,423281278,0,0,0,0,0,0,0,0,0,0,0
424232153,424232153,0,0,0,0,0,0,0,0,0,0,0
425252306,425252306,0,0,0,0,0,0,0,0,0,0,0
426279144,426279144,0,0,0,0,0,0,0,0,0,0,0
427303152,427303152,0,0,0,0,0,0,0,0,0,0,0
428326186,428326186,0,0,0,0,0,0,0,0,0,0,0
429252258,429252258,0,0,0,0,0,0,0,0,0,0,0
430241165,430241165,0,0,0,0,0,0,0,0,0,0,0
431235147,431235147,0,0,0,0,0,0,0,0,0,0,0
432235129,432235129,0,0,0,0,0,0,0,0,0,0,0
433228231,433228231,0,0,0,0,0,0,0,0,0,0,0
434262530,434262530,0,0,0,0,0,0,0,0,0,0,0
435291143,435291143,0,0,0,0,0,0,0,0,0,0,0
436311199,436311199,0,0,0,0,0,0,0,0,0,0,0
437341051,437341051,0,0,0,0,0,0,0,0,0,0,0
438228269,438228269,0,0,0,0,0,0,0,0,0,0,0
439232163,439232163,0,0,0,0,0,0,0,0,0,0,0
440265161,440265161,0,0,0,0,0,0,0,0,0,0,0
441235489,441235489,0,0,0,0,0,0,0,0,0,0,0
442246141,442246141,0,0,0,0,0,0,0,0,0,0,0
443228408,443228408,0,0,0,0,0,0,0,0,0,0,0
444298726,444298726,0,0,0,0,0,0,0,0,0,0,0
445245218,445245218,0,0,0,0,0,0,0,0,0,0,0
446229134,446229134,0,0,0,0,0,0,0,0,0,0,0
447225497,447225497,0,0,0,0,0,0,0,0,0,0,0
448236257,448236257,0,0,0,0,0,0,0,0,0,0,0
449226173,449226173,0,0,0,0,0,0,0,0,0,0,0
450241241,450241241,0,0,0,0,0,0,0,0,0,0,0
451239237,451239237,0,0,0,0,0,0,0,0,0,0,0
452285980,452285980,0,0,0,0,0,0,0,0,0,0,0
453292166,453292166,0,0,0,0,0,0,0,0,0,0,0
454336150,454336150,0,0,0,0,0,0,0,0,0,0,0
455230140,455230140,0,0,0,0,0,0,0,0,0,0,0
456247209,456247209,0,0,0,0,0,0,0,0,0,0,0
457262896,457262896,0,0,0,0,0,0,0,0,0,0,0
458243486,458243486,0,0,0,0,0,0,0,0,0,0,0
459252174,459252174,0,0,0,0,0,0,0,0,0,0,0
460277420,460277420,0,0,0,0,0,0,0,0,0,0,0
461293157,461293157,0,0,0,0,0,0,0,0,0,0,0
462260157,462260157,0,0,0,0,0,0,0,0,0,0,0
463345237,463345237,0,0,0,0,0,0,0,0,0,0,0
464247371,464247371,0,0,0,0,0,0,0,0,0,0,0
465261610,465261610,0,0,0,0,0,0,0,0,0,0,0
466237245,466237245,0,0,0,0,0,0,0,0,0,0,0
467235452,467235452,0,0,0,0,0,0,0,0,0,0,0
468242129,468242129,0,0,0,0,0,0,0,0,0,0,0
469289147,469289147,0,0,0,0,0,0,0,0,0,0,0
470312158,470312158,0,0,0,0,0,0,0,0,0,0,0
471333400,471333400,0,0,0,0,0,0,0,0,0,0,0
472355204,472355204,0,0,0,0,0,0,0,0,0,0,0
473255143,473255143,0,0,0,0,0,0,0,0,0,0,0
474274140,474274140,0,0,0,0,0,0,0,0,0,0,0
475230598,475230598,0,0,0,0,0,0,0,0,0,0,0
476225983,476225983,0,0,0,0,0,0,0,0,0,0,0
477271619,477271619,0,0,0,0,0,0,0,0,0,0,0
478285144,478285144,0,0,0,0,0,0,0,0,0,0,0
479321051,479321051,0,0,0,0,0,0,0,0,0,0,0
480346920,480346920,0,0,0,0,0,0,0,0,0,0,0
481246173,481246173,0,0,0,0,0,0,0,0,0,0,0
482224832,482224832,0,0,0,0,0,0,0,0,0,0,0
483258149,483258149,0,0,0,0,0,0,0,0,0,0,0
484295218,484295218,0,0,0,0,0,0,0,0,0,0,0
485263376,485263376,0,0,0,0,0,0,0,0,0,0,0
486279183,486279183,0,0,0,0,0,0,0,0,0,0,0
487245151,487245151,0,0,0,0,0,0,0,0,0,0,0
488267352,488267352,0,0,0,0,0,0,0,0,0,0,0
489235412,489235412,0,0,0,0,0,0,0,0,0,0,0
490236206,490236206,0,0,0,0,0,0,0,0,0,0,0
491262358,491262358,0,0,0,0,0,0,0,0,0,0,0
492234157,492234157,0,0,0,0,0,0,0,0,0,0,0
493320665,493320665,0,0,0,0,0,0,0,0,0,0,0
494271427,494271427,0,0,0,0,0,0,0,0,0,0,0
495232998,495232998,0,0,0,0,0,0,0,0,0,0,0
496315622,496315622,0,0,0,0,0,0,0,0,0,0,0
497325203,497325203,0,0,0,0,0,0,0,0,0,0,0
498228200,498228200,0,0,0,0,0,0,0,0,0,0,0
499250398,499250398,0,0,0,0,0,0,0,0,0,0,0
500246379,500246379,0,0,0,0,0,0,0,0,0,0,0
501237139,501237139,0,0,0,0,0,0,0,0,0,0,0
502263035,502263035,0,0,0,0,0,0,0,0,0,0,0
503265140,503265140,0,0,0,0,0,0,0,0,0,0,0
504309161,504309161,0,0,0,0,0,0,0,0,0,0,0
505327569,505327569,0,0,0,0,0,0,0,0,0,0,0
507230538,507230538,0,0,0,0,0,0,0,0,0,0,0
508275153,508275153,0,0,0,0,0,0,0,0,0,0,0
509296474,509296474,0,0,0,0,0,0,0,0,0,0,0
510246704,510246704,0,0,0,0,0,0,0,0,0,0,0
514254147,514254147,0,0,0,0,0,0,0,0,0,0,0
515239416,515239416,0,0,0,0,0,0,0,0,0,0,0
516237278,516237278,0,0,0,0,0,0,0,0,0,0,0
517237148,517237148,0,0,0,0,0,0,0,0,0,0,0
518230378,518230378,0,0,0,0,0,0,0,0,0,0,0
519267148,519267148,0,0,0,0,0,0,0,0,0,0,0
520284197,520284197,0,0,0,0,0,0,0,0,0,0,0
521306078,521306078,0,0,0,0,0,0,0,0,0,0,0
522332199,522332199,0,0,0,0,0,0,0,0,0,0,0
523355156,523355156,0,0,0,0,0,0,0,0,0,0,0
524252655,524252655,0,0,0,0,0,0,0,0,0,0,0
525255544,525255544,0,0,0,0,0,0,0,0,0,0,0
526243135,526243135,0,0,0,0,0,0,0,0,0,0,0
527241159,527241159,0,0,0,0,0,0,0,0,0,0,0
528342761,528342761,0,0,0,0,0,0,0,0,0,0,0
529236716,529236716,0,0,0,0,0,0,0,0,0,0,0
530320265,530320265,0,0,0,0,0,0,0,0,0,0,0
531344164,531344164,0,0,0,0,0,0,0,0,0,0,0
532364354,532364354,0,0,0,0,0,0,0,0,0,0,0
534283150,534283150,0,0,0,0,0,0,0,0,0,0,0
535234157,535234157,0,0,0,0,0,0,0,0,0,0,0
536244224,536244224,0,0,0,0,0,0,0,0,0,0,0
537278131,537278131,0,0,0,0,0,0,0,0,0,0,0
538287540,538287540,0,0,0,0,0,0,0,0,0,0,0
565249147,565249147,0,0,0,0,0,0,0,0,0,0,0
566235372,566235372,0,0,0,0,0,0,0,0,0,0,0
567225041,567225041,0,0,0,0,0,0,0,0,0,0,0
568232261,568232261,0,0,0,0,0,0,0,0,0,0,0
569232274,569232274,0,0,0,0,0,0,0,0,0,0,0
570255458,570255458,0,0,0,0,0,0,0,0,0,0,0
571233516,571233516,0,0,0,0,0,0,0,0,0,0,0
572300273,572300273,0,0,0,0,0,0,0,0,0,0,0
573322805,573322805,0,0,0,0,0,0,0,0,0,0,0
574225352,574225352,0,0,0,0,0,0,0,0,0,0,0
575232203,575232203,0,0,0,0,0,0,0,0,0,0,0
576254144,576254144,0,0,0,0,0,0,0,0,0,0,0
577230281,577230281,0,0,0,0,0,0,0,0,0,0,0
578243177,578243177,0,0,0,0,0,0,0,0,0,0,0
579265456,579265456,0,0,0,0,0,0,0,0,0,0,0
580288298,580288298,0,0,0,0,0,0,0,0,0,0,0
581306144,581306144,0,0,0,0,0,0,0,0,0,0,0
582258612,582258612,0,0,0,0,0,0,0,0,0,0,0
583248838,583248838,0,0,0,0,0,0,0,0,0,0,0
584256035,584256035,0,0,0,0,0,0,0,0,0,0,0
585278597,585278597,0,0,0,0,0,0,0,0,0,0,0
586302171,586302171,0,0,0,0,0,0,0,0,0,0,0
587253338,587253338,0,0,0,0,0,0,0,0,0,0,0
588279152,588279152,0,0,0,0,0,0,0,0,0,0,0
589302175,589302175,0,0,0,0,0,0,0,0,0,0,0
590241964,590241964,0,0,0,0,0,0,0,0,0,0,0
591344999,591344999,0,0,0,0,0,0,0,0,0,0,0
592234156,592234156,0,0,0,0,0,0,0,0,0,0,0
593225453,593225453,0,0,0,0,0,0,0,0,0,0,0
594224025,594224025,0,0,0,0,0,0,0,0,0,0,0
595241879,595241879,0,0,0,0,0,0,0,0,0,0,0
